chainage,z_min,file,b_main,m_main,err_main,b_fp_left,b_fp_right,m_fp,err_fp,h_bankfull,h_max,n_left,n_main,n_right
1605,489,55.csv,55.137,13.737,0.642854534,0,0,14.329,0.051843993,17.914,31,0.05,0.041741894,0.05
5543,485,54.csv,15.824,10.036,0.243202199,54.22,36.059,19.725,0.011802601,19.941,28,0.05,0.041741894,0.05
18130,484.934,53.csv,41.346,6.425,0.038417183,38.454,115.705,40.16,0.198385173,10.159,28.066,0.05,0.041741894,0.05
23875,476.036,51.csv,35.929,15.71,0.084323347,0,0,30.441,0.7997608,13.964,32.964,0.05,0.041741894,0.05
38490,475.591,46.csv,101.08,21.005,0.166803886,298.151,89.282,33.223,0.075347777,10.467,31.409,0.05,0.041741894,0.05
50133,464.182,42.csv,0,4.454,9.965762203,76.382,100.813,43.176,2.375000917,17.818,45.818,0.05,0.041741894,0.05
61763,472.568,36.csv,54.87,54.883,0.844547499,930.889,59.956,35.981,0.002051676,21.388,32.432,0.05,0.041741894,0.05
71937,468.48,31.csv,0,25.839,26.03190143,921.408,1446.183,79.114,0.025047554,21.52,48.52,0.05,0.041741894,0.05
75780,471.79,29.csv,0,90.783,0.772824428,0,0,126.442,0.067808098,18.21,39.21,0.05,0.041741894,0.05
86759,469.916,24.csv,0,97.251,0.547637315,5071.297,1009.96,459.732,0.225923951,12.882,28.084,0.05,0.041741894,0.05
94330,470.45,21.csv,200.369,203.653,5.169515531,0,0,0,0.096286536,12.05,23.55,0.05,0.041741894,0.05
98892,461.07,19.csv,0,4.026,37.71191596,831.217,6311.767,80.463,0.102702134,19.83,35.93,0.05,0.041741894,0.05
107653,461.493,15.csv,0,1.65,47.42376721,677.57,4706.519,104.899,0.001135222,19.531,30.507,0.05,0.041741894,0.05
109585,463.652,14.csv,259.169,73.779,0.923453835,980.463,1552.555,172.715,0.003035995,19.348,28.348,0.05,0.041741894,0.05
112472,467.434,11.csv,0,143.455,1.787413677,441.945,2533.056,1476.078,1.066651325,13.466,24.566,0.05,0.041741894,0.05
115586,466.564,09.csv,0,221.737,6.411983437,1248.953,507.828,255.427,0.014543035,16.436,25.436,0.05,0.041741894,0.05
116957,464.019,08.csv,0,29.454,25.77600136,4606.558,2294.221,371.499,0.014497856,17.009,27.981,0.05,0.041741894,0.05
118164,459.458,07.csv,0,19.209,19.20249759,3932.013,3339.483,264.188,0.004058547,23.542,32.542,0.05,0.041741894,0.05
119166,465.113,06.csv,0,106.883,5.836978601,686.412,2577.413,235.23,0.011250283,17.887,26.887,0.05,0.041741894,0.05
119882,466.953,05.csv,0,141.401,4.009438306,22.378,1953.119,175.011,0.009116085,16.047,25.047,0.05,0.041741894,0.05
121584,453.186,03.csv,60.225,18.127,3.995916149,437.126,882.938,1.192,1.83E-05,28.814,38.814,0.05,0.041741894,0.05
122000,437.727,01.csv,13.209,2.361,1.887648643,47.378,521.522,2.076,0.001160491,41.273,54.273,0.05,0.041741894,0.05
