,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455
480,1414,1396,1378,1360,1341,1322,1303,1284,1264,1245,1224,1204,1183,1161,1140,1118
481,1431,1414,1396,1378,1360,1341,1322,1303,1284,1264,1245,1224,1204,1183,1161,1140
482,1449,1431,1414,1396,1378,1360,1341,1322,1303,1284,1264,1245,1224,1204,1183,1161
483,1466,1449,1431,1414,1396,1378,1360,1341,1322,1303,1284,1264,1245,1224,1204,1183
484,1483,1466,1449,1431,1414,1396,1378,1360,1341,1322,1303,1284,1264,1245,1224,1204
485,1499,1483,1466,1449,1431,1414,1396,1378,1360,1341,1322,1303,1284,1264,1245,1224
486,1516,1499,1483,1466,1449,1431,1414,1396,1378,1360,1341,1322,1303,1284,1264,1245
487,1532,1516,1499,1483,1466,1449,1431,1414,1396,1378,1360,1341,1322,1303,1284,1264
488,1549,1532,1516,1499,1483,1466,1449,1431,1414,1396,1378,1360,1341,1322,1303,1284
489,1565,1549,1532,1516,1499,1483,1466,1449,1431,1414,1396,1378,1360,1341,1322,1303
490,1581,1565,1549,1532,1516,1499,1483,1466,1449,1431,1414,1396,1378,1360,1341,1322
491,1596,1581,1565,1549,1532,1516,1499,1483,1466,1449,1431,1414,1396,1378,1360,1341
492,1612,1596,1581,1565,1549,1532,1516,1499,1483,1466,1449,1431,1414,1396,1378,1360
493,1627,1612,1596,1581,1565,1549,1532,1516,1499,1483,1466,1449,1431,1414,1396,1378
