xs_id,chainage,left_fp_limit,right_fp_limit,n_left,n_main,n_right
1,122000,0,833.98329,0.5,0.3,0.5
3,121584,0,2450.20943,0.5,0.3,0.5
5,119882,1904.860787,7476.887622,0.5,0.3,0.5
6,119166,2409.060841,8610.741481,0.5,0.3,0.5
7,118164,1998.930619,9720.735259,0.5,0.3,0.5
8,116957,1560.50281,8304.20002,0.5,0.3,0.5
9,115586,1049.598672,8850.440242,0.5,0.3,0.5
11,112472,951.7919496,3282.308527,0.5,0.3,0.5
14,109585,983.4302394,2069.081491,0.5,0.3,0.5
15,107653,453.8991019,4506.514482,0.5,0.3,0.5
19,98892,3404.946874,8986.869319,0.5,0.3,0.5
21,94330,4408.92579,8184.803049,0.5,0.3,0.5
24,86759,8335.039133,9331.456098,0.5,0.3,0.5
29,75780,1673.081775,3804.605855,0.5,0.3,0.5
31,71937,2037.744019,3987.744149,0.5,0.3,0.5
36,61763,2735.515237,4069.955097,0.5,0.3,0.5
42,50133,1526.020073,1838.817853,0.5,0.3,0.5
46,38490,1145.725374,1449.597674,0.5,0.3,0.5
51,23875,1026.2608,1313.66098,0.5,0.3,0.5
53,18130,880.32631,1073.51162,0.5,0.3,0.5
54,5543,328,547,0.5,0.3,0.5
55,1605,350,665,0.5,0.3,0.5
